Index,Currency,Date,Price
CRBQX,USD,2009-01-01,2171.85000000000000
CRBQX,USD,2009-01-02,2280.19000000000000
CRBQX,USD,2009-01-05,2320.80000000000000
CRBQX,USD,2009-01-06,2358.48000000000000
CRBQX,USD,2009-01-07,2326.84000000000000
CRBQX,USD,2009-01-08,2325.68000000000000
CRBQX,USD,2009-01-09,2282.73000000000000
CRBQX,USD,2009-01-12,2164.50000000000000
CRBQX,USD,2009-01-13,2172.79000000000000
CRBQX,USD,2009-01-14,2060.10000000000000
CRBQX,USD,2009-01-15,2069.24000000000000
CRBQX,USD,2009-01-16,2119.92000000000000
CRBQX,USD,2009-01-19,2099.97000000000000
CRBQX,USD,2009-01-20,2018.80000000000000
CRBQX,USD,2009-01-21,2075.52000000000000
CRBQX,USD,2009-01-22,2058.94000000000000
CRBQX,USD,2009-01-23,2080.38000000000000
CRBQX,USD,2009-01-26,2130.99000000000000
CRBQX,USD,2009-01-27,2141.39000000000000
CRBQX,USD,2009-01-28,2193.41000000000000
CRBQX,USD,2009-01-29,2149.16000000000000
CRBQX,USD,2009-01-30,2099.96000000000000
CRBQX,USD,2009-02-02,2069.62000000000000
CRBQX,USD,2009-02-03,2100.03000000000000
CRBQX,USD,2009-02-04,2151.62000000000000
CRBQX,USD,2009-02-05,2213.54000000000000
CRBQX,USD,2009-02-06,2292.99000000000000
CRBQX,USD,2009-02-09,2314.87000000000000
CRBQX,USD,2009-02-10,2238.73000000000000
CRBQX,USD,2009-02-11,2218.38000000000000
CRBQX,USD,2009-02-12,2210.51000000000000
CRBQX,USD,2009-02-13,2227.80000000000000
CRBQX,USD,2009-02-16,2210.08000000000000
CRBQX,USD,2009-02-17,2090.81000000000000
CRBQX,USD,2009-02-18,2090.76000000000000
CRBQX,USD,2009-02-19,2109.74000000000000
CRBQX,USD,2009-02-20,2069.04000000000000
CRBQX,USD,2009-02-23,2000.42000000000000
CRBQX,USD,2009-02-24,2034.97000000000000
CRBQX,USD,2009-02-25,2022.37000000000000
CRBQX,USD,2009-02-26,2044.42000000000000
CRBQX,USD,2009-02-27,2019.10000000000000
CRBQX,USD,2009-03-02,1881.25000000000000
CRBQX,USD,2009-03-03,1885.39000000000000
CRBQX,USD,2009-03-04,1966.28000000000000
CRBQX,USD,2009-03-05,1901.74000000000000
CRBQX,USD,2009-03-06,1909.22000000000000
CRBQX,USD,2009-03-09,1913.24000000000000
CRBQX,USD,2009-03-10,2015.92000000000000
CRBQX,USD,2009-03-11,2043.03000000000000
CRBQX,USD,2009-03-12,2052.98000000000000
CRBQX,USD,2009-03-13,2056.55000000000000
CRBQX,USD,2009-03-16,2087.45000000000000
CRBQX,USD,2009-03-17,2101.51000000000000
CRBQX,USD,2009-03-18,2114.68000000000000
CRBQX,USD,2009-03-19,2191.70000000000000
CRBQX,USD,2009-03-20,2160.05000000000000
CRBQX,USD,2009-03-23,2280.44000000000000
CRBQX,USD,2009-03-24,2265.44000000000000
CRBQX,USD,2009-03-25,2272.97000000000000
CRBQX,USD,2009-03-26,2322.14000000000000
CRBQX,USD,2009-03-27,2267.97000000000000
CRBQX,USD,2009-03-30,2152.85000000000000
CRBQX,USD,2009-03-31,2177.67000000000000
CRBQX,USD,2009-04-01,2214.18000000000000
CRBQX,USD,2009-04-02,2299.41000000000000
CRBQX,USD,2009-04-03,2294.39000000000000
CRBQX,USD,2009-04-06,2261.93000000000000
CRBQX,USD,2009-04-07,2199.52000000000000
CRBQX,USD,2009-04-08,2218.85000000000000
CRBQX,USD,2009-04-09,2284.50000000000000
CRBQX,USD,2009-04-10,2286.14000000000000
CRBQX,USD,2009-04-13,2298.96000000000000
CRBQX,USD,2009-04-14,2298.47000000000000
CRBQX,USD,2009-04-15,2308.22000000000000
CRBQX,USD,2009-04-16,2317.01000000000000
CRBQX,USD,2009-04-17,2315.44000000000000
CRBQX,USD,2009-04-20,2220.04000000000000
CRBQX,USD,2009-04-21,2234.08000000000000
CRBQX,USD,2009-04-22,2240.07000000000000
CRBQX,USD,2009-04-23,2249.24000000000000
CRBQX,USD,2009-04-24,2320.34000000000000
CRBQX,USD,2009-04-27,2284.27000000000000
CRBQX,USD,2009-04-28,2260.73000000000000
CRBQX,USD,2009-04-29,2325.38000000000000
CRBQX,USD,2009-04-30,2336.57000000000000
CRBQX,USD,2009-05-01,2380.52000000000000
CRBQX,USD,2009-05-04,2467.27000000000000
CRBQX,USD,2009-05-05,2471.91000000000000
CRBQX,USD,2009-05-06,2518.16000000000000
CRBQX,USD,2009-05-07,2508.34000000000000
CRBQX,USD,2009-05-08,2573.12000000000000
CRBQX,USD,2009-05-11,2541.67000000000000
CRBQX,USD,2009-05-12,2583.58000000000000
CRBQX,USD,2009-05-13,2532.02000000000000
CRBQX,USD,2009-05-14,2536.50000000000000
CRBQX,USD,2009-05-15,2540.51000000000000
CRBQX,USD,2009-05-18,2580.24000000000000
CRBQX,USD,2009-05-19,2641.10000000000000
CRBQX,USD,2009-05-20,2694.73000000000000
CRBQX,USD,2009-05-21,2618.06000000000000
CRBQX,USD,2009-05-22,2655.00000000000000
CRBQX,USD,2009-05-25,2659.18000000000000
CRBQX,USD,2009-05-26,2673.17000000000000
CRBQX,USD,2009-05-27,2644.62000000000000
CRBQX,USD,2009-05-28,2676.01000000000000
CRBQX,USD,2009-05-29,2734.60000000000000
CRBQX,USD,2009-06-01,2833.24000000000000
CRBQX,USD,2009-06-02,2850.62000000000000
CRBQX,USD,2009-06-03,2742.68000000000000
CRBQX,USD,2009-06-04,2770.25000000000000
CRBQX,USD,2009-06-05,2769.50000000000000
CRBQX,USD,2009-06-08,2734.81000000000000
CRBQX,USD,2009-06-09,2786.11000000000000
CRBQX,USD,2009-06-10,2828.69000000000000
CRBQX,USD,2009-06-11,2861.59000000000000
CRBQX,USD,2009-06-12,2821.01000000000000
CRBQX,USD,2009-06-15,2726.56000000000000
CRBQX,USD,2009-06-16,2683.40000000000000
CRBQX,USD,2009-06-17,2594.57000000000000
CRBQX,USD,2009-06-18,2587.69000000000000
CRBQX,USD,2009-06-19,2602.26000000000000
CRBQX,USD,2009-06-22,2480.43000000000000
