"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2017","193.45","194.13","195.73","193.31","-","-0.21%"
"Dec 24, 2017","193.86","188.36","194.05","188.30","-","3.18%"
"Dec 17, 2017","187.88","185.57","187.93","185.17","-","1.82%"
"Dec 10, 2017","184.52","185.01","186.29","182.98","-","-0.27%"
"Dec 03, 2017","185.02","190.14","190.46","183.86","-","-2.97%"
"Nov 26, 2017","190.69","191.68","192.23","188.78","-","-0.80%"
"Nov 19, 2017","192.22","189.19","192.47","188.36","-","0.96%"
"Nov 12, 2017","190.39","191.36","192.16","188.03","-","-0.66%"
"Nov 05, 2017","191.65","190.05","192.99","189.71","-","1.20%"
"Oct 29, 2017","189.38","187.04","189.44","186.80","-","1.33%"
"Oct 22, 2017","186.89","184.62","187.00","184.42","-","1.50%"
"Oct 15, 2017","184.12","185.46","185.73","183.35","-","-0.38%"
"Oct 08, 2017","184.83","181.07","185.01","180.51","-","2.14%"
"Oct 01, 2017","180.95","181.46","183.40","180.31","-","-1.17%"
"Sep 24, 2017","183.09","183.70","184.69","182.41","-","-0.26%"
"Sep 17, 2017","183.57","183.80","184.94","182.34","-","-0.26%"
"Sep 10, 2017","184.05","180.86","184.31","180.24","-","1.59%"
"Sep 03, 2017","181.17","181.50","183.29","180.87","-","0.12%"
"Aug 27, 2017","180.95","178.26","181.00","176.57","-","1.75%"
"Aug 20, 2017","177.83","177.76","178.65","176.21","-","0.19%"
"Aug 13, 2017","177.50","178.72","179.09","174.68","-","-1.17%"
"Aug 06, 2017","179.61","180.45","182.55","178.47","-","-0.59%"
"Jul 30, 2017","180.68","181.76","182.69","179.69","-","-0.79%"
"Jul 23, 2017","182.12","176.44","182.58","176.00","-","3.09%"
"Jul 16, 2017","176.66","176.50","179.74","175.83","-","0.22%"
"Jul 09, 2017","176.28","172.91","176.34","171.43","-","2.16%"
"Jul 02, 2017","172.56","175.00","176.73","171.88","-","-1.27%"
"Jun 25, 2017","174.78","168.25","174.82","167.16","-","4.20%"
"Jun 18, 2017","167.74","172.74","172.74","166.48","-","-3.07%"
"Jun 11, 2017","173.05","177.65","177.81","172.06","-","-2.10%"
"Jun 04, 2017","176.76","177.39","178.30","175.53","-","-0.67%"
"May 28, 2017","177.96","181.14","181.62","177.47","-","-2.22%"
"May 21, 2017","182.00","185.82","186.35","180.19","-","-1.66%"
"May 14, 2017","185.08","183.90","185.10","181.22","-","1.87%"
"May 07, 2017","181.69","177.70","181.74","177.00","-","2.12%"
"Apr 30, 2017","177.92","181.71","182.27","176.68","-","-2.10%"
"Apr 23, 2017","181.73","182.38","182.83","179.72","-","-0.08%"
"Apr 16, 2017","181.87","187.34","188.08","181.43","-","-3.14%"
"Apr 09, 2017","187.77","187.34","188.51","186.88","-","0.35%"
"Apr 02, 2017","187.11","186.26","187.25","184.47","-","0.66%"
"Mar 26, 2017","185.88","182.93","186.17","182.15","-","1.31%"
"Mar 19, 2017","183.47","184.19","185.32","182.85","-","-0.55%"
"Mar 12, 2017","184.48","183.01","185.05","181.55","-","1.00%"
"Mar 05, 2017","182.65","189.83","190.75","182.41","-","-3.73%"
"Feb 26, 2017","189.72","190.89","191.39","188.69","-","-0.63%"
"Feb 19, 2017","190.93","193.05","193.19","190.58","-","-0.62%"
"Feb 12, 2017","192.12","193.51","193.95","191.62","-","-0.99%"
"Feb 05, 2017","194.04","193.80","194.38","190.86","-","0.43%"
"Jan 29, 2017","193.20","192.87","194.77","191.23","-","-0.12%"
"Jan 22, 2017","193.43","193.60","195.84","192.62","-","-0.30%"
"Jan 15, 2017","194.02","195.59","196.36","192.71","-","-0.27%"
"Jan 08, 2017","194.54","191.78","195.18","190.55","-","0.52%"
"Jan 01, 2017","193.54","193.57","194.19","189.94","-","0.54%"
"Dec 25, 2016","192.51","191.20","193.61","191.06","-","1.04%"
"Dec 18, 2016","190.53","191.24","191.97","189.56","-","-0.47%"
"Dec 11, 2016","191.43","193.97","194.72","189.43","-","-0.29%"
"Dec 04, 2016","191.98","192.56","194.91","189.88","-","0.15%"
"Nov 27, 2016","191.69","186.37","192.63","183.83","-","3.21%"
"Nov 20, 2016","185.73","184.97","188.07","184.93","-","1.41%"
"Nov 13, 2016","183.14","180.26","183.64","178.94","-","1.33%"
"Nov 06, 2016","180.74","183.42","185.08","180.42","-","-0.96%"
"Oct 30, 2016","182.50","188.75","188.80","181.71","-","-3.55%"
"Oct 23, 2016","189.21","189.01","190.70","188.04","-","-0.10%"
"Oct 16, 2016","189.40","189.57","191.35","188.01","-","-0.04%"
"Oct 09, 2016","189.47","188.85","190.71","187.48","-","0.61%"
"Oct 02, 2016","188.32","186.23","189.46","184.84","-","1.07%"
"Sep 25, 2016","186.32","183.58","186.84","181.91","-","1.76%"
"Sep 18, 2016","183.10","181.75","187.30","180.95","-","1.28%"
"Sep 11, 2016","180.78","181.16","183.77","179.16","-","-0.96%"
"Sep 04, 2016","182.54","180.65","185.78","178.99","-","1.42%"
"Aug 28, 2016","179.99","184.90","185.15","178.01","-","-3.29%"
"Aug 21, 2016","186.11","186.79","188.53","185.25","-","-1.41%"
"Aug 14, 2016","188.78","183.46","189.57","182.91","-","3.34%"
"Aug 07, 2016","182.68","182.73","183.33","179.24","-","0.48%"
"Jul 31, 2016","181.80","179.70","181.95","176.67","-","0.44%"
"Jul 24, 2016","181.01","182.38","182.52","177.99","-","-1.03%"
"Jul 17, 2016","182.90","188.41","188.66","181.72","-","-3.16%"
"Jul 10, 2016","188.86","187.88","191.47","186.60","-","0.90%"
"Jul 03, 2016","187.17","192.35","192.35","185.36","-","-3.65%"
"Jun 26, 2016","194.26","188.63","194.73","187.01","-","2.95%"
"Jun 19, 2016","188.69","193.03","194.43","188.53","-","-1.92%"
"Jun 12, 2016","192.38","193.20","193.73","188.70","-","-0.26%"
"Jun 05, 2016","192.89","191.27","195.88","190.26","-","2.24%"
"May 29, 2016","188.67","186.48","189.35","184.32","-","1.36%"
"May 22, 2016","186.14","183.47","186.43","182.49","-","1.05%"
"May 15, 2016","184.21","183.63","186.30","182.01","-","0.91%"
"May 08, 2016","182.55","180.20","184.37","176.86","-","1.47%"
"May 01, 2016","179.91","184.51","184.68","178.02","-","-2.55%"
"Apr 24, 2016","184.61","179.12","185.24","178.61","-","2.76%"
"Apr 17, 2016","179.65","172.38","182.73","171.59","-","3.46%"
"Apr 10, 2016","173.64","170.53","176.24","170.31","-","1.52%"
"Apr 03, 2016","171.04","168.25","171.07","164.71","-","1.79%"
"Mar 27, 2016","168.03","171.98","173.72","167.27","-","-2.41%"
"Mar 20, 2016","172.18","175.82","177.23","170.65","-","-2.36%"
"Mar 13, 2016","176.35","172.33","178.68","170.46","-","1.63%"
"Mar 06, 2016","173.53","169.29","174.18","168.95","-","2.95%"
"Feb 28, 2016","168.55","161.77","168.64","161.51","-","4.26%"
"Feb 21, 2016","161.67","161.78","165.27","158.27","-","1.28%"
