"Date","Price","Open","High","Low","Change %"
"Apr 19, 2019","3.9275","3.9275","3.9275","3.9275","0.00%"
"Apr 18, 2019","3.9274","3.9409","3.9522","3.9047","-0.27%"
"Apr 17, 2019","3.9382","3.9052","3.9477","3.8859","0.88%"
"Apr 16, 2019","3.9040","3.8730","3.9085","3.8687","0.82%"
"Apr 15, 2019","3.8723","3.8811","3.8908","3.8588","-0.25%"
"Apr 14, 2019","3.8819","3.8819","3.8819","3.8819","-0.00%"
"Apr 12, 2019","3.8819","3.8584","3.9080","3.8575","0.61%"
"Apr 11, 2019","3.8582","3.8264","3.8636","3.8264","0.87%"
"Apr 10, 2019","3.8251","3.8511","3.8542","3.8144","-0.67%"
"Apr 09, 2019","3.8510","3.8500","3.8649","3.8462","0.04%"
"Apr 08, 2019","3.8495","3.8720","3.8773","3.8415","-0.62%"
"Apr 05, 2019","3.8735","3.8589","3.8766","3.8415","0.38%"
"Apr 04, 2019","3.8590","3.8708","3.8876","3.8472","-0.28%"
"Apr 03, 2019","3.8700","3.8538","3.8824","3.8327","0.42%"
"Apr 02, 2019","3.8537","3.8523","3.8800","3.8483","0.05%"
"Apr 01, 2019","3.8518","3.8897","3.8932","3.8492","-1.86%"
"Mar 29, 2019","3.9247","3.9016","3.9347","3.8679","0.61%"
"Mar 28, 2019","3.9010","3.9927","4.0159","3.8982","-2.32%"
"Mar 27, 2019","3.9935","3.8739","4.0019","3.8725","3.00%"
"Mar 26, 2019","3.8773","3.8529","3.8794","3.8333","0.59%"
"Mar 25, 2019","3.8544","3.9047","3.9374","3.8438","-1.35%"
"Mar 22, 2019","3.9071","3.7928","3.9169","3.7928","3.01%"
"Mar 21, 2019","3.7930","3.7761","3.8382","3.7639","0.44%"
"Mar 20, 2019","3.7763","3.7921","3.7994","3.7386","-0.34%"
"Mar 19, 2019","3.7891","3.7912","3.8001","3.7647","-0.06%"
"Mar 18, 2019","3.7915","3.8161","3.8277","3.7832","-0.68%"
"Mar 17, 2019","3.8173","3.8173","3.8173","3.8173","0.08%"
"Mar 15, 2019","3.8144","3.8453","3.8725","3.8081","-0.78%"
"Mar 14, 2019","3.8443","3.8157","3.8556","3.8142","0.78%"
"Mar 13, 2019","3.8147","3.8113","3.8352","3.7995","0.09%"
"Mar 12, 2019","3.8114","3.8399","3.8445","3.8009","-0.75%"
"Mar 11, 2019","3.8403","3.8678","3.8685","3.8342","-0.69%"
"Mar 08, 2019","3.8668","3.8708","3.9032","3.8493","-0.09%"
"Mar 07, 2019","3.8704","3.8405","3.9028","3.8159","0.79%"
"Mar 06, 2019","3.8401","3.7763","3.8451","3.7746","1.71%"
"Mar 05, 2019","3.7755","3.7755","3.7755","3.7755","0.00%"
"Mar 04, 2019","3.7755","3.7742","3.7755","3.7742","0.02%"
"Mar 03, 2019","3.7747","3.7747","3.7747","3.7747","-0.01%"
"Mar 01, 2019","3.7752","3.7511","3.7957","3.7456","0.63%"
"Feb 28, 2019","3.7514","3.7258","3.7592","3.7171","0.61%"
"Feb 27, 2019","3.7287","3.7444","3.7478","3.7217","-0.54%"
"Feb 26, 2019","3.7489","3.7519","3.7666","3.7378","-0.09%"
"Feb 25, 2019","3.7521","3.7468","3.7523","3.7193","0.12%"
"Feb 24, 2019","3.7476","3.7476","3.7476","3.7476","-0.02%"
"Feb 22, 2019","3.7485","3.7683","3.7683","3.7262","-0.56%"
"Feb 21, 2019","3.7696","3.7256","3.7721","3.7149","1.12%"
"Feb 20, 2019","3.7277","3.7243","3.7372","3.6900","0.12%"
"Feb 19, 2019","3.7231","3.7334","3.7449","3.7029","-0.33%"
"Feb 18, 2019","3.7353","3.7012","3.7422","3.7012","0.93%"
"Feb 15, 2019","3.7008","3.7203","3.7264","3.6983","-0.60%"
"Feb 14, 2019","3.7233","3.7514","3.7952","3.7137","-0.83%"
"Feb 13, 2019","3.7544","3.7104","3.7619","3.7104","1.20%"
"Feb 12, 2019","3.7098","3.7437","3.7470","3.7021","-1.27%"
"Feb 11, 2019","3.7577","3.7312","3.7747","3.7274","0.68%"
"Feb 10, 2019","3.7322","3.7322","3.7322","3.7322","0.08%"
"Feb 08, 2019","3.7292","3.7195","3.7477","3.7027","0.34%"
"Feb 07, 2019","3.7167","3.6996","3.7375","3.6990","0.50%"
"Feb 06, 2019","3.6983","3.6696","3.7161","3.6672","0.78%"
"Feb 05, 2019","3.6698","3.6637","3.6846","3.6610","0.03%"
"Feb 04, 2019","3.6687","3.6597","3.6877","3.6592","0.25%"
"Feb 01, 2019","3.6597","3.6455","3.6822","3.6376","0.43%"
"Jan 31, 2019","3.6440","3.6865","3.6865","3.6358","-1.11%"
"Jan 30, 2019","3.6850","3.7205","3.7321","3.6741","-0.95%"
"Jan 29, 2019","3.7202","3.7617","3.7648","3.7150","-1.11%"
"Jan 28, 2019","3.7619","3.7780","3.7878","3.7500","-0.24%"
"Jan 25, 2019","3.7708","3.7713","3.7713","3.7708","-0.07%"
"Jan 24, 2019","3.7733","3.7746","3.7955","3.7381","0.19%"
"Jan 23, 2019","3.7663","3.7943","3.8134","3.7561","-1.28%"
"Jan 22, 2019","3.8152","3.7545","3.8173","3.7457","1.60%"
"Jan 21, 2019","3.7550","3.7609","3.7811","3.7541","0.09%"
"Jan 18, 2019","3.7517","3.7480","3.7743","3.7285","0.03%"
"Jan 17, 2019","3.7504","3.7329","3.7744","3.7262","0.37%"
"Jan 16, 2019","3.7366","3.7151","3.7381","3.7084","0.52%"
"Jan 15, 2019","3.7172","3.7024","3.7325","3.6947","0.49%"
"Jan 14, 2019","3.6991","3.7121","3.7357","3.6846","-0.33%"
"Jan 13, 2019","3.7113","3.7113","3.7113","3.7113","0.00%"
"Jan 11, 2019","3.7113","3.6943","3.7300","3.6913","0.02%"
"Jan 10, 2019","3.7105","3.6807","3.7249","3.6746","0.81%"
"Jan 09, 2019","3.6807","3.7138","3.7155","3.6743","-0.88%"
"Jan 08, 2019","3.7133","3.7373","3.7412","3.7034","-0.60%"
"Jan 07, 2019","3.7356","3.7139","3.7384","3.6898","0.57%"
"Jan 06, 2019","3.7144","3.7144","3.7144","3.7144","-0.03%"
"Jan 04, 2019","3.7155","3.7593","3.7850","3.7088","-1.09%"
"Jan 03, 2019","3.7565","3.7960","3.8074","3.7376","-0.88%"
"Jan 02, 2019","3.7900","3.8786","3.8971","3.7828","-2.35%"
"Jan 01, 2019","3.8813","3.8813","3.8813","3.8813","0.00%"
"Dec 31, 2018","3.8813","3.8813","3.8813","3.8813","0.17%"
"Dec 30, 2018","3.8747","3.8747","3.8747","3.8747","-0.17%"
"Dec 28, 2018","3.8813","3.8769","3.8956","3.8298","0.20%"
"Dec 27, 2018","3.8735","3.9202","3.9456","3.8685","-1.24%"
"Dec 26, 2018","3.9220","3.9040","3.9405","3.8918","0.46%"
"Dec 25, 2018","3.9040","3.9040","3.9040","3.9040","0.00%"
"Dec 24, 2018","3.9040","3.9040","3.9040","3.9040","-0.03%"
"Dec 23, 2018","3.9053","3.9053","3.9053","3.9053","0.03%"
"Dec 21, 2018","3.9040","3.8408","3.9071","3.8393","1.61%"
"Dec 20, 2018","3.8422","3.8971","3.8971","3.8327","-1.42%"
"Dec 19, 2018","3.8977","3.9015","3.9138","3.8634","-0.38%"
"Dec 18, 2018","3.9124","3.8970","3.9173","3.8836","0.33%"
"Dec 17, 2018","3.8995","3.9173","3.9285","3.8772","-0.45%"
"Dec 16, 2018","3.9170","3.9174","3.9174","3.9170","-0.00%"
"Dec 14, 2018","3.9171","3.9113","3.9210","3.8877","0.67%"
"Dec 13, 2018","3.8911","3.8551","3.8974","3.8507","0.92%"
"Dec 12, 2018","3.8555","3.8936","3.8997","3.8362","-1.24%"
"Dec 11, 2018","3.9040","3.9202","3.9226","3.8876","-0.36%"
"Dec 10, 2018","3.9181","3.9076","3.9455","3.8914","0.28%"
"Dec 09, 2018","3.9073","3.9077","3.9077","3.9073","-0.01%"
"Dec 07, 2018","3.9075","3.8817","3.9239","3.8571","0.73%"
"Dec 06, 2018","3.8793","3.8910","3.9445","3.8733","0.28%"
"Dec 05, 2018","3.8686","3.8517","3.8832","3.8341","0.42%"
"Dec 04, 2018","3.8525","3.8290","3.8675","3.8177","0.27%"
"Dec 03, 2018","3.8423","3.8677","3.8677","3.8161","-0.63%"
"Dec 02, 2018","3.8667","3.8598","3.8667","3.8598","-0.01%"
"Nov 30, 2018","3.8669","3.8496","3.8888","3.8380","0.37%"
"Nov 29, 2018","3.8527","3.8516","3.8752","3.8331","0.04%"
"Nov 28, 2018","3.8510","3.8790","3.8878","3.8317","-0.62%"
"Nov 27, 2018","3.8752","3.9228","3.9241","3.8619","-1.67%"
"Nov 26, 2018","3.9410","3.8184","3.9452","3.8171","2.97%"
"Nov 25, 2018","3.8272","3.8272","3.8272","3.8272","-0.03%"
"Nov 23, 2018","3.8283","3.8035","3.8306","3.7948","0.63%"
"Nov 22, 2018","3.8045","3.7904","3.8269","3.7902","0.18%"
"Nov 21, 2018","3.7976","3.7560","3.8034","3.7560","1.08%"
"Nov 20, 2018","3.7572","3.7563","3.7572","3.7563","0.01%"
"Nov 19, 2018","3.7570","3.7473","3.7736","3.7427","0.35%"
"Nov 18, 2018","3.7440","3.7440","3.7440","3.7440","0.01%"
"Nov 16, 2018","3.7435","3.7723","3.7827","3.7296","-1.08%"
"Nov 15, 2018","3.7843","3.7843","3.7843","3.7843","0.01%"
"Nov 14, 2018","3.7841","3.8032","3.8194","3.7661","-0.50%"
"Nov 13, 2018","3.8032","3.7561","3.8313","3.7529","0.95%"
"Nov 12, 2018","3.7675","3.7487","3.7696","3.7361","0.98%"
"Nov 11, 2018","3.7308","3.7308","3.7308","3.7308","-0.07%"
